Designator,Mid X,Mid Y,Rotation,Layer
C10,145.75,-58.5,180.0,top
C11,142.75,-56.0,0.0,top
C12,141.41,-64.75,180.0,top
C13,141.41,-58.25,180.0,top
C2,137.685,-65.495,270.0,top
C5,147.6316,-76.3032,180.0,top
C6,147.6316,-78.3032,180.0,top
C7,147.6316,-80.3032,180.0,top
C8,144.08125,-84.6,180.0,bottom
C9,140.6316,-84.5532,180.0,bottom
D7,137.9441,-80.5532,0.0,top
D8,142.58125,-69.3375,180.0,top
D9,146.08125,-69.3375,180.0,top
J1,155.75575,-61.45,90.0,top
J2,151.7,-69.1,0.0,top
J3,139.125,-84.5,0.0,top
J4,151.14,-53.7,90.0,top
R10,140.6316,-86.5532,0.0,bottom
R11,135.25,-86.75,180.0,bottom
R12,144.58125,-79.9125,270.0,top
R13,137.8816,-85.3032,270.0,bottom
R14,141.41,-62.75,0.0,top
R15,141.3816,-80.5532,180.0,top
R16,141.58125,-72.3375,270.0,top
R17,135.1316,-84.5532,180.0,bottom
R18,143.83125,-72.3375,270.0,top
R19,141.41,-60.25,0.0,top
R4,145.6,-55.4,90.0,top
R7,141.4,-78.5,180.0,top
R8,138.83125,-71.5875,180.0,top
R9,146.08125,-72.0875,90.0,top
SW1,146.30625,-85.8375,0.0,top
SW2,151.80625,-85.8375,0.0,top
U1,144.25,-57.25,270.0,bottom
U2,145.50575,-61.45,0.0,top
U3,137.935,-61.495,90.0,bottom
X1,143.33125,-76.0,90.0,bottom
